time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.009552,0.039686,0.077774,-0.067767
0.039544,-0.039736,0.051948,-0.083547
0.069535,-0.165318,-0.059711,-0.040236
0.109523,-0.016605,-0.259670,0.003557
0.139515,0.015042,-0.448972,-0.043011
0.169506,-0.091587,-0.577002,-0.016398
0.209494,0.131170,-0.424257,0.212673
0.239486,0.260448,-0.072545,-0.044973
0.269477,0.377151,0.288767,-0.246701
0.309466,-0.015750,0.125362,-0.045592
0.339457,-0.326706,-0.230617,0.190735
0.369448,-0.330235,-0.440497,0.275841
0.409437,-0.192254,-0.663790,0.100778
0.439428,-0.288346,-0.769248,0.069369
0.469420,-0.207491,-0.809977,0.055846
0.509408,-0.195691,-0.704737,-0.042180
0.539399,-0.272333,-0.609828,-0.203706
0.569391,-0.179934,-0.494121,-0.279599
0.609379,-0.343248,-0.193028,-0.323096
0.639370,0.024306,0.059808,-0.186813
0.669362,0.304599,0.402240,-0.231749
0.709350,0.436482,0.483528,-0.259586
0.739342,0.729021,0.469616,-0.161188
0.769333,0.749237,0.104218,0.006755
0.809321,0.312890,-0.169842,0.169729
0.839313,0.017735,-0.141782,0.158953
0.879301,0.008158,-0.072053,0.099277
0.909293,0.055718,-0.121266,0.054769
0.939284,0.003849,-0.178462,0.081686
0.969275,0.004936,-0.170948,0.090081
1.009264,-0.005752,-0.064317,0.034502
1.039255,0.068051,0.097004,-0.025499
1.069246,0.144369,0.291472,-0.022212
1.109235,0.041717,0.360546,0.121430
1.139226,-0.015643,0.247526,0.256610
1.169218,-0.125005,0.183886,0.165447
1.209206,0.025779,0.274767,-0.010969
1.239197,0.107469,0.255133,0.004904
1.279186,-0.005518,0.043831,0.053189
1.309177,-0.102044,-0.113654,0.089053
1.339169,-0.073133,-0.144589,0.044236
1.369160,0.010572,-0.067418,-0.036533
1.409148,0.003272,-0.088828,-0.076231
1.439140,-0.068185,-0.144665,-0.026541
1.469131,-0.085347,-0.177257,-0.015006
1.509119,-0.177942,-0.133630,-0.045379
1.539111,-0.293216,-0.012269,-0.022653
1.569102,-0.181150,0.043384,-0.021286
1.609091,0.016498,0.066492,-0.078374
1.639082,0.085975,0.035824,-0.092343
1.679070,-0.016194,-0.112613,0.014846
1.709062,-0.044459,-0.176441,-0.003296
1.739053,0.009351,-0.134478,-0.044549
1.779042,0.075990,-0.035405,-0.060267
1.809033,0.061149,-0.053895,-0.055283
1.839024,-0.004437,-0.085878,-0.013453
1.879013,0.002571,-0.045892,0.016198
1.909004,0.030222,0.015660,0.001337
1.938995,0.037366,0.040513,-0.018717
1.978984,0.072049,-0.024337,0.033086
2.008975,-0.011085,-0.090476,0.078723
2.038967,-0.038744,-0.040825,0.048658
2.078955,0.048353,0.021057,-0.024747
2.108946,0.033710,-0.009913,-0.025724
2.138938,-0.024007,-0.056236,0.034231
2.178926,-0.047998,-0.056633,0.041469
2.208918,0.014717,0.003047,-0.002997
2.238909,-0.023679,0.113720,0.013972
2.278897,0.023568,0.105905,0.050239
2.308889,0.092502,0.032411,0.070189
2.338880,0.078642,-0.035229,0.108267
2.378869,0.061182,-0.109570,0.090234
2.408860,0.115274,-0.039758,0.035181
2.438851,0.065479,0.055321,-0.017467
2.478840,0.102521,-0.010183,-0.054034
2.508831,0.210858,-0.042450,0.021395
2.538822,0.103464,-0.025957,0.133720
2.578811,-0.054801,-0.041443,0.162713
2.608802,-0.027288,-0.120872,0.076177
2.638794,0.048714,-0.174501,-0.025817
2.678782,0.059297,-0.030126,-0.082397
2.708773,0.019511,0.042311,-0.105295
2.738765,0.027673,0.046995,-0.056706
2.778753,0.000598,-0.032793,0.030778
2.808744,-0.109563,-0.102878,0.015483
2.838736,-0.045269,-0.081315,-0.012210
2.878724,-0.071445,-0.006527,-0.073749
2.908716,-0.063261,-0.041521,-0.078018
2.938707,-0.059764,-0.086644,-0.034355
2.978695,-0.067735,-0.088013,0.057627
3.008687,-0.041026,-0.075317,0.087828
3.038678,-0.008147,-0.061293,0.091445
3.078667,0.032883,-0.052783,0.017774
3.108658,0.049340,-0.010317,-0.007746
3.138649,0.059277,-0.007260,-0.024777
3.178638,-0.037561,-0.014289,0.041386
3.208629,-0.003769,-0.012404,0.038631
3.238620,0.030933,0.002430,0.028989
3.278609,0.023904,0.041778,-0.020421
3.308600,0.027804,0.047003,-0.040027
3.338592,0.050335,0.002602,-0.009349
3.378580,0.102904,-0.067149,0.008546
3.408571,0.053219,-0.129090,0.016910
3.438563,0.014018,-0.147681,0.018345
3.478551,0.021233,-0.082576,-0.005944
3.508543,0.019360,-0.060888,-0.012836
3.538534,0.015402,-0.047015,-0.030911
3.578522,0.056646,-0.012043,-0.039768
3.608514,0.109417,0.023844,0.009751
3.638505,0.063120,-0.026361,0.063354
3.678494,0.068769,-0.082579,0.117160
3.708485,0.081739,-0.081624,0.095587
3.738476,-0.004808,-0.093022,0.034156
3.778465,-0.032354,-0.009735,0.008270
3.808456,-0.045181,-0.016535,-0.008941
3.838447,-0.041056,-0.042440,-0.033613
3.878436,-0.001433,-0.016608,-0.041485
3.908427,0.011191,-0.033029,-0.042601
3.938419,-0.004717,-0.078065,-0.038307
3.978407,0.003620,-0.107824,-0.001356
4.008398,-0.002381,-0.077204,0.005779
4.044640,-0.016856,-0.018361,0.022274
4.084628,0.064799,0.000545,0.029114
4.114620,0.031326,-0.028820,0.048409
4.144611,-0.016676,-0.058848,0.049260
4.184599,0.027965,0.000715,0.031624
4.214591,0.048419,0.011456,0.001349
4.244582,0.069276,-0.040629,-0.021537
4.284570,0.013412,-0.010455,-0.004276
4.314562,0.060832,0.018737,0.025842
4.344553,0.025611,0.025660,0.071709
4.384542,-0.050204,-0.014652,0.129943
4.414533,-0.011506,-0.012099,0.147094
4.444524,-0.006289,0.007075,0.065887
4.484513,0.023771,0.034043,-0.031185
4.514504,0.044276,0.021168,-0.072160
4.544494,-0.024782,0.012553,-0.063086
4.574485,-0.037542,-0.020853,-0.028359
4.604476,0.007582,-0.033705,0.002228
4.644465,0.011196,0.005012,0.022716
4.674456,0.002611,0.029872,0.043454
4.704448,-0.004455,0.025982,0.063194
4.744436,-0.003017,-0.003482,0.078743
4.774427,0.058835,-0.011315,0.063878
4.804419,0.097776,0.010069,0.020265
4.844407,0.069748,0.022883,0.012976
4.874399,0.030393,-0.011180,0.051205
4.904390,0.008238,-0.021957,0.076951
4.944382,0.018652,0.018591,0.062245
4.974374,0.048762,0.030964,0.022436
5.004365,0.029072,0.038891,0.001801
5.044354,0.004414,-0.002066,0.005961
5.074345,-0.023315,-0.032896,-0.026167
5.104336,-0.012453,-0.016050,-0.042323
5.144325,0.046244,-0.018370,-0.025888
5.174316,-0.023490,-0.034990,0.003659
5.204307,-0.005845,-0.022890,0.017344
5.244296,0.034180,-0.003821,0.006648
5.274287,0.020807,-0.047730,0.001272
5.304279,0.013137,-0.070528,-0.008101
5.344267,-0.040356,-0.021195,-0.026062
5.374258,-0.014707,-0.029802,-0.033646
5.404250,0.057715,-0.063154,-0.046237
5.444238,0.045080,-0.064523,-0.045744
5.474230,-0.041003,-0.022272,-0.045144
5.504221,0.024943,-0.001850,-0.020413
5.544209,0.026383,0.003131,0.005455
5.574201,-0.001727,-0.007875,0.045427
5.604192,0.028791,-0.004567,0.052687
5.644181,-0.004753,-0.009884,0.023902
5.674172,0.007413,-0.027266,-0.002570
5.704163,0.041871,-0.031051,-0.021882
5.744152,-0.016197,-0.020095,-0.029468
5.774143,0.016925,-0.001850,-0.021098
5.804134,0.037580,0.010188,0.001909
5.844123,-0.008755,-0.009488,0.007910
5.874114,0.011665,0.017882,0.016895
5.904106,0.019663,0.025463,0.006796
5.944091,0.011565,-0.015345,0.037146
5.974082,-0.026858,-0.018157,0.036664
6.004074,0.017833,0.007081,0.011664
6.044062,0.050351,0.016154,0.016175
6.074054,0.016881,-0.021204,0.037268
6.104045,-0.016278,-0.018700,0.038244
6.144033,-0.021908,0.041439,0.010069
6.174025,-0.027862,0.044301,-0.006557
6.204016,-0.032903,0.041227,-0.004533
6.244005,0.017811,0.027810,-0.002218
6.273996,0.005998,0.009122,0.023720
6.303987,0.006789,-0.011161,0.047479
6.343976,0.025310,-0.012076,0.026326
6.373967,0.011638,0.007637,0.014288
6.403958,0.003955,0.025628,0.001518
6.443947,0.031174,0.008009,0.023142
6.473938,0.034365,-0.023996,0.053476
6.503930,0.008658,-0.035176,0.049786
6.543918,-0.003456,-0.004477,0.019078
6.573909,0.005047,0.025772,-0.004861
6.603901,-0.013062,0.010186,-0.001401
6.643889,-0.007879,-0.016023,-0.004102
6.673880,-0.003963,-0.007244,-0.003947
6.703872,-0.018812,0.000664,-0.022002
6.743860,0.016078,-0.013185,-0.026616
6.773852,0.021377,-0.037435,0.004137
6.803843,-0.000550,-0.037527,0.015497
6.843831,0.010495,-0.009146,0.018966
6.873823,0.041287,-0.005157,0.004518
6.903814,0.034591,-0.011670,-0.004780
6.943806,0.004520,-0.010163,-0.001231
6.973797,0.033053,-0.021311,-0.005579
7.003788,0.036436,-0.016895,0.016348
7.043777,-0.002136,-0.021713,0.015059
7.073768,0.006950,0.001448,-0.000727
7.103760,0.024945,-0.003519,-0.025377
7.143748,-0.014697,-0.003534,-0.019833
7.173739,0.001181,-0.028586,0.011614
7.203731,-0.002223,-0.044544,0.007821
7.243719,0.023155,-0.005674,-0.012193
7.273710,0.026355,0.008353,-0.009227
7.303702,-0.006701,-0.022909,0.012740
7.343690,-0.031176,-0.020543,0.010151
7.373682,0.021922,0.001407,-0.011209
7.403673,0.020465,-0.013293,-0.038323
7.443661,-0.001153,-0.041880,-0.018982
7.473653,0.008385,-0.048327,-0.000960
7.503644,0.016759,-0.038467,-0.013324
7.543633,0.047409,-0.032723,-0.010052
7.573624,0.009160,-0.037079,0.010113
7.603615,0.010232,-0.021731,0.018950
7.643604,0.019825,0.013087,0.010628
7.673595,-0.026677,0.017033,-0.003786
7.703587,-0.036064,0.029337,-0.003900
7.743575,0.039380,0.012345,-0.002212
7.773566,0.025776,-0.034919,0.014637
7.803558,0.017593,-0.058500,0.025848
7.843546,0.028611,-0.024672,0.013099
7.873538,-0.028127,-0.038526,-0.020214
7.903529,-0.044906,-0.054263,-0.059673
7.943513,-0.066926,0.060420,-0.061982
7.973505,-0.048845,0.113454,-0.050344
8.003496,0.001679,0.061689,-0.036042
8.043486,-0.010203,-0.019492,-0.007864
8.083475,0.035465,-0.007829,-0.005412
8.113466,0.039772,-0.020625,0.004633
8.143457,0.014997,-0.031624,0.025989
8.183446,0.023914,-0.021470,0.029412
8.213437,0.031869,-0.003227,0.017960
8.243429,0.036629,-0.007351,0.013371
8.283417,0.022441,-0.011097,0.013272
8.313408,0.019782,-0.020874,0.002989
8.343400,0.014287,-0.009808,-0.013120
8.383388,-0.023177,0.012749,-0.025692
8.413380,-0.013120,0.024628,-0.038346
8.443371,0.013579,-0.001923,-0.030575
8.483359,-0.003018,-0.009410,0.004617
8.513351,0.009299,0.003345,-0.000771
8.543341,0.021583,0.015536,0.005119
8.573332,0.007647,0.001133,0.017576
8.613321,0.010209,-0.004841,0.014258
8.643312,-0.007569,0.016147,-0.000201
8.673304,-0.010659,0.029003,-0.021690
8.713292,-0.007202,0.024523,-0.019978
8.743283,-0.014694,-0.004473,0.004392
8.773275,-0.026924,-0.015407,0.012532
8.813263,0.018718,-0.004601,0.005232
8.843255,0.017108,0.005750,0.009632
8.873246,0.002831,-0.004033,0.018954
8.913234,0.031766,0.011078,0.016350
8.943227,0.040501,0.001368,-0.002201
8.973218,0.039850,-0.034835,-0.016344
9.013207,0.053950,-0.026389,-0.005078
9.043198,0.073664,-0.047015,0.009493
9.073189,0.047860,-0.057413,0.034674
9.113178,0.007839,-0.029661,0.048382
9.143169,0.006464,0.010864,0.042853
9.173161,-0.000974,0.029048,0.047787
9.213149,-0.038070,0.016243,0.040411
9.243140,0.003556,-0.001803,0.010735
9.273132,0.028100,-0.037162,-0.079928
9.313120,0.063918,-0.069648,-0.093356
9.343112,0.046121,-0.097930,-0.075147
9.373103,-0.060752,-0.102606,-0.030625
9.413091,-0.131778,-0.001154,-0.016129
9.443083,-0.130504,0.083640,-0.016823
9.473074,-0.176245,0.102004,0.001075
9.513062,-0.133454,0.081288,0.068910
9.543054,-0.014234,0.067050,0.071520
9.573045,0.013910,0.072753,0.071975
9.613034,-0.003003,0.081211,0.092579
9.643025,-0.001286,0.108094,0.070275
9.673016,0.041197,0.127713,0.019842
9.713005,0.099058,0.085254,0.004016
9.742996,0.103803,0.026702,0.014865
9.772988,0.086723,-0.003842,0.053365
9.812976,0.067916,0.003348,0.082503
9.842967,0.041849,-0.008468,0.087208
9.872959,0.012070,-0.010017,0.069919
9.912947,0.018525,0.017335,-0.008454
9.942942,0.060718,0.017517,-0.048313
9.972933,0.066932,-0.033523,-0.057120
10.012921,0.036088,-0.044619,-0.021474
10.042913,0.008827,-0.004657,-0.023485
10.072904,0.006363,0.046776,-0.028002
10.112893,0.003471,0.075158,-0.015174
10.142884,0.041935,0.047489,-0.029294
10.172875,0.057494,0.057955,-0.033074
10.212864,0.053392,0.044461,-0.004074
10.242855,0.071865,0.028233,0.000251
10.272846,0.069944,0.025379,0.010997
10.312835,-0.001821,-0.028546,0.043382
10.342826,0.000337,-0.049254,0.041085
10.372818,-0.008300,-0.006463,-0.002085
10.412806,-0.027520,0.050788,-0.032450
10.442797,-0.024582,0.025475,-0.032174
10.472789,-0.021524,-0.000176,-0.046116
10.512777,-0.002008,-0.030568,-0.045891
10.542769,0.047304,-0.054621,-0.022911
10.572760,0.033048,-0.083791,0.004809
10.612748,-0.007378,-0.036261,0.028019
10.642740,0.024249,0.013876,0.055986
10.672731,0.082570,0.032684,0.067666
10.712720,-0.044769,-0.002166,0.075759
10.742711,-0.074518,-0.009073,0.049906
10.772702,-0.007649,0.025743,0.009639
10.812691,0.020145,0.002051,-0.011862
10.842682,0.017966,-0.038042,-0.031807
10.872673,0.039539,-0.014884,-0.013183
10.912662,-0.006966,-0.004234,-0.019077
10.942650,0.101061,-0.029168,-0.046088
10.972642,0.230171,-0.073479,-0.034845
11.012630,0.070584,-0.053513,0.046207
11.042621,-0.028977,-0.011635,0.072398
11.072613,0.068367,0.022448,0.035325
11.112601,0.080358,0.002531,0.034705
11.142593,-0.041709,-0.087060,0.035967
11.172584,-0.021585,-0.143144,0.025348
11.212572,-0.075829,-0.075554,-0.003919
11.242564,0.007415,0.054172,-0.013625
11.272555,0.048202,0.101944,-0.014612
11.312544,0.006126,0.036253,0.056923
11.342535,0.045850,-0.013438,0.070245
11.372526,0.098498,0.020255,0.023918
11.412515,0.136573,0.105881,-0.011543
11.442506,0.110775,0.013827,-0.003382
11.472498,0.031513,-0.064739,0.044002
11.512486,-0.049984,0.010411,0.059096
11.542477,-0.016269,0.085041,0.012541
11.572469,-0.034604,0.096757,0.004353
11.612457,-0.009674,0.021704,0.049426
11.642449,0.058206,0.043333,0.041122
11.672440,0.115301,0.116454,-0.009853
11.712428,0.061177,0.081666,-0.012528
11.742420,-0.033309,0.022903,-0.006854
11.772411,-0.057141,-0.015285,0.007232
11.812399,-0.013242,0.022466,0.010559
11.842391,-0.041468,0.023543,0.011917
11.872382,-0.037631,0.007312,0.033259
11.912371,-0.020084,0.002629,0.039306
11.942362,-0.027240,0.043955,0.037119
11.972353,-0.075431,0.077225,0.046869
12.012342,-0.021626,0.070496,0.057440
12.044834,0.027933,0.016103,0.089372
12.084822,0.012823,-0.018331,0.115978
12.114813,0.018979,-0.003216,0.103235
12.144805,0.001656,-0.003547,0.079055
12.184793,0.005601,0.004307,0.049554
12.214785,0.029993,-0.002349,0.029402
12.244776,-0.012144,-0.020056,0.016257
12.284764,-0.060769,-0.045854,-0.062724
12.314756,0.016546,-0.059236,-0.079221
12.344747,0.003191,-0.071658,-0.053761
12.384736,-0.097887,-0.014603,-0.014942
12.414727,-0.074713,0.023585,0.023291
12.444718,-0.000778,0.038112,0.035339
12.484707,0.000622,-0.002916,0.069960
12.514698,-0.086117,0.032891,0.069866
12.544689,-0.065009,0.094123,0.012545
12.574680,0.016237,0.091646,-0.000250
12.614669,0.041475,-0.034898,0.066902
12.644660,0.064745,-0.072282,0.139055
12.674652,0.111092,-0.098206,0.142074
12.714640,0.106934,-0.048156,0.094596
12.744631,0.075489,-0.031212,0.042469
12.774623,0.030250,-0.013010,0.008847
12.814611,-0.036582,0.041685,-0.033094
12.844603,-0.047260,0.095613,-0.052836
12.874594,-0.062545,0.098376,-0.022161
12.914582,-0.133737,0.070552,0.063666
12.944577,-0.106201,0.057551,0.095766
12.974568,-0.036402,0.027739,0.082969
13.014557,0.019426,-0.057883,0.051809
13.044548,0.071424,-0.077958,-0.000303
13.074539,0.100225,-0.068628,-0.056428
13.114528,0.135107,-0.000078,-0.146892
13.144519,0.123181,0.055299,-0.171002
13.184508,0.085268,0.060094,-0.073239
13.214499,0.050945,0.028800,0.027439
13.244490,0.043641,0.009670,0.081409
13.274482,0.022481,0.008993,0.100807
13.314470,-0.026031,0.001817,0.101543
13.344462,-0.032987,-0.005151,0.070177
13.374453,-0.022787,0.003392,0.027894
13.414441,0.008867,-0.013120,-0.003930
13.444433,0.049719,-0.038917,-0.005550
13.474424,0.026067,-0.068397,0.011951
13.514413,-0.022320,-0.070158,-0.004432
13.544404,-0.000096,-0.026189,-0.034686
13.574395,0.010241,-0.030728,-0.016080
13.614384,-0.095757,-0.040479,0.009284
13.644375,-0.088804,-0.019195,-0.015639
13.684363,0.019949,-0.006071,-0.069242
13.714355,0.014012,-0.057087,-0.075052
13.744346,0.068278,-0.087770,-0.072613
13.774338,0.007620,-0.028110,-0.028072
13.814326,-0.135344,0.136868,0.029982
13.844317,-0.037996,0.185527,0.031479
13.874309,0.157595,0.084950,0.117967
13.914297,0.053514,-0.119623,0.234157
13.944289,-0.029608,-0.120138,0.174912
13.984277,0.159003,0.005412,0.007186
14.014268,0.123643,0.033911,-0.044632
14.044260,0.036903,-0.013219,-0.025071
14.084248,0.050509,-0.017037,-0.013651
14.114240,0.051627,0.014669,-0.029582
14.144231,0.004239,0.043506,-0.040645
14.184219,0.025761,0.041370,-0.032331
14.214211,0.041275,0.018268,0.011041
14.244202,0.036283,-0.028791,0.042432
14.284191,0.061115,-0.029938,0.036860
14.314182,0.057634,-0.010019,0.031667
14.344173,0.011008,0.000198,0.042984
14.384162,0.020208,-0.009250,0.033430
14.414153,0.069582,-0.029569,-0.001224
14.444144,0.054120,-0.024078,-0.039644
14.484133,0.044473,0.027861,-0.028393
14.514124,-0.013526,0.045094,-0.022411
14.544116,-0.063362,0.051323,-0.011179
14.584104,-0.047695,0.064205,-0.029091
14.614095,-0.022557,0.033886,-0.025562
14.644087,-0.052543,-0.002906,-0.021229
14.674078,-0.038702,0.015440,-0.019861
14.714067,0.028720,0.004220,-0.006500
14.744058,-0.011893,-0.019570,0.015268
14.774049,-0.033120,-0.006828,0.017744
14.814038,-0.006776,0.025788,-0.017666
14.844029,0.006558,0.006339,-0.032729
14.884018,0.013338,-0.022197,-0.031745
14.914009,0.029072,-0.003268,-0.026997
14.943996,0.008105,0.021222,-0.023541
14.983985,-0.004834,-0.016713,-0.038717
15.013976,0.020387,-0.013758,-0.039746
15.043968,0.026607,-0.014052,-0.026646
15.083956,-0.008735,-0.010160,-0.009246
15.113947,-0.009131,0.011199,-0.004675
15.143939,-0.027426,0.026949,-0.021867
15.183927,-0.024747,0.016341,-0.012629
15.213919,-0.041527,0.010985,-0.005585
15.243910,-0.024956,0.024055,-0.008815
15.283899,-0.014715,0.034484,-0.014721
15.313890,-0.011776,-0.003243,-0.029905
15.343881,0.021281,-0.028637,-0.035501
15.383870,0.024026,-0.008212,-0.033135
15.413861,0.015640,-0.025251,-0.019905
15.443852,-0.001900,-0.013061,-0.004438
15.483841,0.010987,0.004036,-0.017392
15.513832,0.014037,0.003840,-0.005935
15.543824,-0.000426,-0.015038,-0.000924
15.583812,0.010382,-0.006611,0.008023
15.613803,0.034149,-0.001642,0.018529
15.643795,0.007469,-0.005813,0.005065
15.683783,0.026653,-0.002277,-0.007262
15.713775,0.033168,-0.013240,-0.015119
15.743766,0.015550,-0.028490,0.002241
15.783755,0.007278,-0.011848,0.018782
15.813746,0.018537,-0.009167,0.008799
15.843737,-0.009684,0.012886,0.030117
15.883726,-0.037572,0.000680,0.046777
15.913717,-0.011068,0.002735,0.031060
15.943709,0.022371,0.014768,0.026079
15.983698,-0.014712,-0.003690,0.014865
16.013689,-0.013094,0.006011,0.011716
16.053678,0.042148,0.006814,0.014758
16.083669,-0.001808,-0.005472,0.032149
16.113661,-0.012012,-0.013298,0.033986
16.153649,0.014684,0.021939,0.009270
16.183641,0.017597,0.013271,0.015000
16.213632,-0.006152,0.002478,0.016204
16.253620,0.042641,0.015741,0.010455
16.283612,0.014643,-0.016870,0.010897
16.313603,-0.011467,-0.014510,0.013795
16.353592,0.019615,0.000199,0.010228
16.383583,0.007479,-0.017593,0.017377
16.413574,0.009074,-0.024237,0.041133
16.443566,-0.004417,-0.009814,0.027700
16.483554,0.001420,0.015619,0.034426
16.513546,-0.019802,0.005723,0.027411
16.543535,-0.021717,0.010068,0.007501
16.573526,0.011816,0.025343,0.002263
16.603518,0.000528,0.009598,-0.004762
16.643506,-0.010422,0.004786,-0.001187
16.673497,0.001827,0.005828,0.006482
16.703489,-0.013632,0.001962,0.001286
16.743477,0.023091,0.009031,0.000905
16.773469,0.014893,-0.002232,0.005871
16.803460,0.009344,-0.011889,0.006588
16.843448,0.013395,0.000670,0.009977
16.873440,-0.013933,0.002819,-0.000726
16.903431,0.001297,-0.019318,-0.022185
16.943423,0.015812,0.012981,-0.015077
16.973414,0.015833,0.008382,0.012089
17.003405,0.007434,-0.021407,0.019163
17.043394,0.013822,0.015854,0.008430
17.073385,0.034679,0.010229,0.003039
17.103377,0.042154,-0.019594,0.028064
17.143365,-0.003340,-0.032015,0.028094
17.173356,0.003216,0.020877,0.007349
17.203348,-0.005973,0.036910,-0.005775
