time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.026009,-0.302877,-9.120887,-2.961434
0.059684,-0.326521,-9.329490,-3.191734
0.092988,-0.330412,-9.440824,-3.060198
0.126329,-0.348219,-9.355976,-2.924173
0.159646,-0.302279,-9.142286,-3.056008
0.192988,-0.332956,-9.308839,-3.381482
0.226313,-0.216384,-9.402665,-2.930159
0.259653,-0.244068,-9.318266,-2.957394
0.292982,-0.128843,-9.121037,-3.105839
0.326311,-0.242571,-9.345651,-2.844563
0.359647,-0.227008,-9.431696,-3.035208
0.392990,-0.227607,-9.302853,-2.980289
0.426313,-0.269956,-9.361513,-2.978344
0.459671,-0.270704,-9.333380,-2.961883
0.492987,-0.133930,-9.210224,-3.073068
0.526320,-0.090833,-9.350589,-2.997348
0.559647,-0.128244,-9.407304,-3.030419
0.592982,-0.193339,-9.310335,-3.265359
0.626310,-0.137672,-9.524474,-2.767048
0.659647,-0.068387,-9.500831,-2.692526
0.692999,-0.068237,-9.250179,-2.911752
0.726424,-0.017359,-9.474643,-2.438731
0.759649,0.025739,-9.511156,-2.644341
0.792983,-0.001197,-9.323653,-2.929410
0.826313,0.003741,-9.321110,-2.825259
0.859643,-0.068536,-9.079586,-2.105776
0.892991,0.371264,-9.492900,-3.693188
0.925393,0.128394,-9.418976,-3.206549
0.959663,0.092030,-9.163386,-3.043289
0.992982,0.186006,-9.295670,-3.357090
1.026313,0.122707,-9.331884,-3.388515
1.059643,0.046389,-8.891335,-3.138162
1.092977,0.389970,-8.612101,-4.563661
1.126315,0.748215,-8.715505,-5.320854
1.159651,0.538864,-8.811276,-4.785581
1.192988,0.549639,-8.806787,-4.366282
1.226326,0.585553,-8.772070,-4.368676
1.259644,0.529287,-8.826839,-4.975179
1.292987,0.446983,-8.778803,-4.458312
1.326311,0.369020,-8.651457,-4.383790
1.359673,0.421694,-8.641431,-4.312560
1.393014,0.333105,-8.754112,-4.364785
1.426326,0.448480,-8.778504,-4.571143
1.459693,0.313053,-8.529798,-4.818353
1.492992,0.407178,-8.601477,-4.934476
1.526327,0.345077,-8.542068,-4.710311
1.559733,0.358993,-8.603871,-4.759693
1.592992,0.352858,-8.455425,-4.772712
1.626374,0.343281,-8.601926,-4.679634
1.659643,0.344628,-8.618386,-4.713454
1.692983,0.352409,-8.447494,-4.620376
1.726326,0.427081,-8.508399,-4.676492
1.759643,0.315597,-8.466648,-4.931334
1.792985,0.256787,-8.378658,-5.035485
1.826323,0.348967,-8.194897,-5.471245
1.859646,0.368870,-8.217493,-5.544122
1.892014,0.305122,-8.269120,-5.645729
1.926312,0.283723,-8.205372,-5.591409
1.959644,0.320535,-8.199087,-5.365298
1.992992,0.332806,-8.274507,-5.215955
2.026388,0.334751,-8.281241,-5.129760
2.059643,0.370067,-8.250265,-5.181088
2.093138,0.329663,-8.223329,-5.177347
2.126316,0.287314,-8.274357,-5.292422
2.159646,0.277438,-8.273459,-5.408994
2.192977,0.261277,-8.238293,-5.422013
2.226313,0.310509,-8.285580,-5.315916
2.259652,0.311108,-8.231410,-5.344797
2.292981,0.268160,-8.245476,-5.213111
2.326312,0.277139,-8.253407,-5.271023
2.359659,0.244816,-8.365490,-5.227178
2.393072,0.243918,-8.291865,-5.190366
2.426335,0.284771,-8.247571,-5.278505
2.459646,0.247360,-8.252210,-5.243638
2.492976,0.235688,-8.173647,-5.267432
2.526327,0.245863,-8.458119,-5.232266
2.559643,0.226559,-8.313115,-5.300802
2.592059,0.252597,-8.221234,-5.307835
2.626333,0.249156,-8.323889,-5.105817
2.659648,0.256488,-8.301143,-5.233014
2.692997,0.211894,-8.324787,-5.133950
2.726312,0.255740,-8.290519,-5.239149
2.759657,0.252897,-8.291117,-5.275812
2.792994,0.213540,-8.343642,-5.257705
2.826317,0.204712,-8.299946,-5.284491
2.859643,0.188251,-8.305632,-5.232415
2.892977,0.218479,-8.296804,-5.209071
2.926463,0.246462,-8.307428,-5.181387
2.959653,0.191842,-8.323141,-5.092050
2.992977,0.210548,-8.287077,-5.246033
3.026310,0.213690,-8.291267,-5.242741
3.059668,0.167301,-8.313414,-5.160138
3.092999,0.188999,-8.296953,-5.206078
3.126359,0.212343,-8.359504,-5.343750
3.159653,0.172838,-8.309673,-5.146670
3.192987,0.219077,-8.314312,-5.277009
3.226306,0.188251,-8.317903,-5.099981
3.259656,0.210697,-8.323590,-5.218498
3.292979,0.155030,-8.302939,-5.139936
3.326366,0.167750,-8.287077,-5.240945
3.359650,0.209650,-8.327181,-5.317263
3.392976,0.169396,-8.280343,-5.176000
3.426309,0.166702,-8.343492,-5.077086
3.459717,0.163260,-8.163023,-5.148915
3.492984,0.191393,-8.318202,-5.251270
3.526319,0.176130,-8.462458,-5.217451
3.559648,0.193189,-8.246374,-5.249026
3.593007,0.156078,-8.276602,-5.185577
3.626350,0.192142,-8.391228,-5.200392
3.659642,0.202168,-8.315509,-5.220444
3.692976,0.141712,-8.292614,-5.098186
3.726309,0.232994,-8.303837,-5.272669
3.759643,0.198726,-8.375965,-5.154601
3.792976,0.170294,-8.345737,-5.368740
3.826310,0.161764,-8.310720,-5.258752
3.859653,0.203065,-8.328677,-5.241244
3.892987,0.154880,-8.364741,-5.113150
3.926310,0.204263,-8.320297,-5.144575
3.959721,0.216833,-8.306530,-5.220145
3.993029,0.225662,-8.290219,-5.221791
4.026317,0.184809,-8.349777,-5.234959
4.059658,0.160417,-8.322991,-5.239448
4.092980,0.164458,-8.343342,-5.113000
4.126333,0.200821,-8.370727,-5.179891
4.159650,0.224614,-8.333167,-5.177945
4.192981,0.225961,-8.342445,-5.168368
4.226412,0.233892,-8.337506,-5.245285
4.259650,0.205909,-8.351872,-5.230769
4.292995,0.172089,-8.321644,-5.245584
4.326251,0.174633,-8.441658,-5.207874
4.359523,0.208602,-8.254904,-5.220294
4.393039,0.226859,-8.282438,-5.121829
4.426309,0.209051,-8.331221,-5.139786
4.459649,0.290906,-8.255951,-5.214458
4.492978,0.217282,-8.416368,-5.168368
4.526317,0.236885,-8.325984,-5.171960
4.559640,0.217282,-8.293811,-5.221192
4.593058,0.193039,-8.351723,-5.193807
4.626340,0.221621,-8.384943,-5.233612
4.659658,0.197828,-8.308775,-5.159240
4.692981,0.246462,-8.255203,-5.201140
4.726316,0.252897,-8.301742,-5.249624
4.759648,0.261277,-8.337955,-5.257256
4.792978,0.260528,-8.315210,-5.300952
4.826315,0.242721,-8.276003,-5.251270
4.859660,0.238830,-8.334962,-5.159539
4.892982,0.233144,-8.398710,-5.158492
4.926310,0.214738,-8.337955,-5.130359
4.959638,0.278186,-8.315359,-5.150860
4.992981,0.268011,-8.339302,-5.158492
5.026330,0.279234,-8.416518,-5.201140
5.059609,0.295994,-8.288124,-5.200841
5.092976,0.282825,-8.257597,-5.241095
5.126315,0.280431,-8.285880,-5.181836
5.159638,0.358096,-8.233654,-5.161036
5.192999,0.361687,-8.304435,-5.153404
5.226327,0.316944,-8.336160,-5.235109
5.259731,0.361687,-8.181578,-5.148915
5.292979,0.409722,-8.311020,-5.214159
5.325907,0.410321,-8.339452,-5.287484
5.359708,0.382338,-8.345288,-5.268330
5.392987,0.360939,-8.318502,-5.233612
5.426310,0.435311,-8.179184,-5.176150
5.459643,0.453418,-8.230811,-5.116292
5.492993,0.488734,-8.234702,-5.107164
5.526312,0.471675,-8.220635,-5.134399
5.559680,0.432917,-8.243381,-5.121231
5.592992,0.372910,-8.285580,-5.182883
5.626325,0.386378,-8.315958,-5.182584
5.659649,0.404335,-8.325984,-5.274166
5.692984,0.395207,-8.321644,-5.226878
5.726312,0.447432,-8.231709,-5.225382
5.759643,0.341036,-8.299497,-5.093397
5.793147,0.320386,-8.303238,-5.179741
5.826313,0.357198,-8.283635,-5.245883
5.859646,0.388174,-8.200583,-5.290327
5.893091,0.339689,-8.256250,-5.284491
5.926315,0.279683,-8.300844,-5.285090
5.959652,0.333704,-8.203726,-5.291225
5.992976,0.312305,-8.254754,-5.175102
6.026365,0.164009,-8.281989,-5.311427
6.059643,0.272949,-8.261937,-5.323099
6.093056,0.257386,-8.182925,-5.287185
6.126298,0.230600,-8.282139,-5.365149
6.159647,0.210997,-8.148657,-5.451044
6.192837,0.177327,-8.185619,-5.383405
6.226215,0.181517,-8.224676,-5.476932
6.259652,0.131087,-8.248768,-5.584525
6.292979,0.252897,-8.135638,-5.500875
6.326328,0.187353,-8.104213,-5.424258
6.359654,0.156078,-8.019814,-5.333125
6.392985,0.126748,-8.181878,-5.201738
6.426339,0.076019,-7.896060,-5.175252
6.459467,0.092030,-7.961753,-5.378467
6.492986,0.113729,-7.833359,-5.502222
6.526324,0.019903,-7.507138,-5.573452
6.559084,0.098016,-7.205757,-5.670121
6.592992,-0.068237,-6.850355,-5.951450
6.626336,-0.225811,-6.044228,-6.984136
6.659646,-0.269956,-5.130508,-7.461347
6.692976,-0.170892,-4.865790,-9.052949
6.726338,-0.120612,-3.803026,-10.367114
6.759654,-0.142909,-3.376244,-10.196521
6.792988,-0.357198,-2.773183,-9.557845
6.826312,-0.809269,-2.791888,-8.914380
6.859699,0.058660,-1.905404,-9.232521
6.892995,0.497413,-1.484757,-9.382463
6.926384,-0.216084,-0.414212,-11.272154
6.959639,0.387875,-1.552546,-11.928638
6.992954,0.599320,-2.278164,-9.669329
7.026392,0.096370,-2.012398,-9.776024
7.059576,-0.005387,-0.745222,-9.956942
7.092780,0.033520,-0.375753,-9.949610
7.126316,0.087391,-0.372910,-9.579992
7.159277,0.089187,-1.078776,-9.785003
7.192495,-0.032173,-1.169909,-9.774378
7.226312,-0.005387,-0.913421,-9.782908
7.259646,-0.065544,-1.027000,-9.775874
7.292954,0.027385,-1.085211,-9.802511
7.326370,0.052375,-1.002159,-9.779765
7.359733,0.015264,-1.076980,-9.831691
7.393022,0.005088,-1.023707,-9.840071
7.426373,0.081855,-1.020715,-9.870598
7.459643,0.051028,-1.036277,-9.797124
7.493033,0.043247,-0.991983,-9.788594
7.526325,0.080209,-1.033285,-9.829746
7.559652,0.009278,-1.027000,-9.819121
7.593021,-0.041900,-0.962803,-9.841119
7.626351,-0.024990,-0.890824,-9.872244
7.659644,-0.032323,-0.763927,-9.732777
7.692987,-0.067788,-0.784279,-9.761958
7.726341,-0.061503,-0.777844,-9.818672
7.759658,-0.048634,-0.767968,-9.765699
7.792986,-0.058810,-0.735794,-9.821366
7.826325,-0.032622,-0.744923,-9.843962
7.859737,0.024990,-0.735345,-9.881522
7.892978,0.025439,-0.721578,-9.788444
7.926293,0.077216,-0.767519,-9.779316
7.959668,0.065095,-0.679379,-9.905914
7.993005,-0.086045,-0.522404,-9.896337
8.026319,-0.065544,-0.424986,-9.767644
8.059353,-0.036663,-0.387725,-9.801763
8.093015,-0.039805,-0.394908,-9.822862
8.125587,0.060306,-0.549938,-9.915042
8.159712,0.054320,-0.731006,-9.974151
8.192977,0.026188,-0.507439,-9.948113
8.226331,0.114327,-0.273398,-9.844561
8.259662,0.108042,-0.250951,-9.811639
8.292977,0.049233,-0.246911,-9.789791
8.326324,0.011672,-0.180020,-9.828698
8.359545,-0.013917,-0.061952,-9.755822
8.392974,0.047586,-0.101009,-9.859974
8.426302,0.075719,-0.204263,-9.927313
8.459649,0.073774,-0.147548,-9.858178
8.492976,0.107593,-0.077665,-9.799069
8.526391,0.164757,-0.030078,-9.808347
8.559646,0.137522,-0.027235,-9.802960
8.592976,0.105199,0.016311,-9.786200
8.626418,0.116871,0.046240,-9.754625
8.659727,0.120762,0.061503,-9.747891
8.692986,0.124653,0.011373,-9.756570
8.726361,0.123605,-0.021698,-9.793383
8.759650,0.133182,-0.074821,-9.826603
8.793029,0.145453,-0.094275,-9.851145
8.826313,0.095921,-0.163410,-9.765399
8.859646,0.158322,-0.075869,-9.815081
8.892987,0.146201,-0.139018,-9.941080
8.926359,0.130189,-0.169396,-9.860872
8.959644,0.146052,-0.325324,-9.858926
8.993016,0.117170,-0.323977,-9.815679
9.026186,0.125401,-0.288362,-9.864463
9.059854,0.115674,-0.327718,-9.837078
9.092988,0.092030,-0.319787,-9.825257
9.126398,0.058211,-0.345974,-9.824209
9.159646,0.047736,-0.350913,-9.851145
9.193036,0.081256,-0.352708,-9.862967
9.226310,0.101159,-0.480952,-9.848152
9.259647,0.079011,-0.467933,-9.826753
9.292991,0.067938,-0.454915,-9.852492
9.326313,0.043396,-0.474218,-9.836480
9.359631,0.026487,-0.504596,-9.806551
9.392993,0.035465,-0.520608,-9.835881
9.426309,0.030677,-0.556223,-9.857131
9.459698,0.000599,-0.561909,-9.846506
9.492979,0.006135,-0.581662,-9.853539
9.526315,0.024242,-0.612489,-9.850846
9.559707,0.005836,-0.617576,-9.824957
9.592985,-0.011223,-0.656184,-9.826753
9.626317,-0.005088,-0.640023,-9.865660
9.659664,-0.039356,-0.649750,-9.797722
9.692974,-0.026786,-0.647954,-9.890351
9.726314,-0.032622,-0.535123,-9.765100
9.759715,0.003891,-0.684467,-9.800865
9.792985,-0.013318,-0.884988,-9.853090
9.826341,-0.039655,-0.758241,-9.877632
9.859708,-0.032173,-0.729509,-9.812836
9.892978,-0.023943,-0.716341,-9.795927
9.926386,-0.029929,-0.733849,-9.797423
9.959658,-0.035016,-0.797148,-9.838874
9.992976,-0.059259,-0.712300,-9.809694
10.026320,-0.030826,-0.785476,-9.822264
10.059686,-0.024841,-0.837103,-9.828249
10.092914,-0.038159,-0.776497,-9.829596
10.126313,-0.047138,-0.770362,-9.812986
10.159651,-0.038608,-0.811214,-9.808946
10.192981,-0.063898,-0.816901,-9.794879
10.226341,-0.065095,-0.796699,-9.801164
10.259693,-0.053123,-0.793108,-9.807150
10.292999,-0.053871,-0.815404,-9.821216
10.326323,-0.075420,-0.831267,-9.829297
10.359642,-0.063449,-0.839946,-9.814333
10.392983,-0.050430,-0.843687,-9.799219
10.426381,-0.060156,-0.848326,-9.800715
10.459704,-0.085895,-0.840245,-9.813435
10.492989,-0.077964,-0.839946,-9.809694
10.526311,-0.087691,-0.857155,-9.828249
10.558689,-0.087990,-0.865086,-9.812238
10.592964,-0.088738,-0.833960,-9.802062
10.626316,-0.089187,-0.860896,-9.830494
10.659695,-0.094574,-0.859848,-9.835283
10.692991,-0.093228,-0.824383,-9.805803
10.726370,-0.113429,-0.859998,-9.808048
10.759666,-0.105798,-0.721728,-9.837228
10.792989,-0.092180,-0.733999,-9.722153
10.826309,-0.065244,-1.015926,-9.822862
10.859642,-0.111334,-0.947090,-9.841119
10.892971,-0.090983,-0.893967,-9.828100
10.926307,-0.074073,-0.883492,-9.801613
10.959662,-0.092629,-0.865684,-9.789492
10.993030,-0.100710,-0.897259,-9.789642
11.026329,-0.113429,-0.851468,-9.807000
11.059652,-0.089187,-0.848476,-9.811041
11.092985,-0.078862,-0.947539,-9.829896
11.126384,-0.104151,-0.919706,-9.817475
11.159611,-0.094724,-0.874214,-9.813435
11.192980,-0.092479,-0.890525,-9.807748
11.226336,-0.104600,-0.891722,-9.814183
11.259657,-0.122109,-0.865385,-9.765399
11.293052,-0.101308,-0.843687,-9.796824
11.326356,-0.080658,-0.871820,-9.831242
11.359647,-0.116871,-0.885437,-9.817924
11.393000,-0.108341,-0.890226,-9.823012
11.426308,-0.091133,-0.885288,-9.808646
11.459660,-0.104451,-0.856107,-9.797722
11.493005,-0.109539,-0.842789,-9.805504
11.526348,-0.115075,-0.827525,-9.809544
11.559728,-0.127795,-0.820193,-9.800266
11.592421,-0.119265,-0.842340,-9.825855
11.625663,-0.129890,-0.846829,-9.818074
11.659270,-0.108341,-0.827974,-9.825257
11.693013,-0.121360,-0.842639,-9.830494
11.726197,-0.106845,-0.826628,-9.828100
11.759336,-0.145902,-0.791162,-9.756720
11.792478,-0.117470,-0.795951,-9.844561
11.825663,-0.118517,-0.638227,-9.826154
11.859628,-0.083501,-0.738488,-9.782908
11.892987,-0.119565,-0.920005,-9.836779
11.926317,-0.121211,-0.794305,-9.853240
11.959653,-0.080658,-0.794903,-9.833487
11.993056,-0.094275,-0.724122,-9.795927
12.026314,-0.115225,-0.685065,-9.779915
12.059695,-0.110736,-0.729509,-9.821067
12.093221,-0.114327,-0.643614,-9.815829
12.126366,-0.084848,-0.722327,-9.858627
12.159702,-0.094275,-0.751058,-9.878679
12.192981,-0.096071,-0.660524,-9.852492
12.226381,-0.091881,-0.640023,-9.848751
12.259653,-0.084997,-0.618325,-9.815679
12.292979,-0.094874,-0.597375,-9.784254
12.326330,-0.085596,-0.549788,-9.799219
12.359312,-0.084848,-0.535123,-9.831841
12.393009,-0.066741,-0.525995,-9.859974
12.426321,-0.067489,-0.541707,-9.851743
12.459644,-0.063898,-0.553380,-9.851444
12.492999,-0.046689,-0.518064,-9.849948
12.526310,-0.046389,-0.479456,-9.836031
12.559649,-0.067788,-0.433815,-9.817026
12.593008,-0.048933,-0.418252,-9.824508
12.626342,-0.054470,-0.397003,-9.853689
12.659668,-0.063149,-0.406580,-9.848451
12.692873,-0.067938,-0.391316,-9.839922
12.726339,-0.060905,-0.385480,-9.812986
12.759653,-0.033520,-0.308115,-9.802212
12.792980,-0.012121,-0.292253,-9.900078
12.826310,-0.009428,-0.295395,-9.795478
12.859642,-0.019304,-0.470178,-9.825556
12.892976,-0.023195,-0.390269,-9.881522
12.926357,-0.002544,-0.355252,-9.922225
12.959671,0.005537,-0.321283,-9.828998
12.992988,-0.024841,-0.254094,-9.820468
13.026321,-0.008380,-0.301381,-9.834086
13.059646,-0.016012,-0.243918,-9.810442
13.093029,0.021698,-0.236735,-9.853689
13.126368,0.040404,-0.324426,-9.889304
13.159642,0.012420,-0.251999,-9.831691
13.192980,0.034867,-0.232545,-9.847703
13.226310,0.029031,-0.232545,-9.871646
13.259654,0.041451,-0.221172,-9.834235
13.293036,0.033520,-0.210847,-9.832140
13.326368,0.020351,-0.183313,-9.837527
13.359703,0.037111,-0.160268,-9.857280
13.392979,0.056565,-0.145154,-9.856682
13.426390,0.051028,-0.167600,-9.870748
13.459658,0.054021,-0.173735,-9.857729
13.492990,0.053572,-0.115524,-9.808796
13.526319,0.079909,-0.111634,-9.840969
13.559676,0.060306,-0.106695,-9.829447
13.592905,0.081705,-0.076767,-9.833188
13.626078,0.063449,-0.108790,-9.840819
13.659643,0.080658,-0.111035,-9.845758
13.692970,0.083650,-0.064945,-9.748340
13.726395,0.092330,-0.085446,-9.807150
13.759575,0.089786,-0.037560,-9.811190
13.792991,0.091282,-0.191094,-9.845608
13.826320,0.057912,-0.236585,-9.815679
13.859640,0.086494,-0.245564,-9.879876
13.892992,0.058211,-0.253495,-9.855335
13.926375,0.058061,-0.206507,-9.880624
13.959677,0.067938,-0.207405,-9.857280
13.992978,0.076168,-0.259481,-9.844261
14.026320,0.053123,-0.161016,-9.810143
14.059667,0.071679,-0.266065,-9.843663
14.092978,0.073325,-0.293749,-9.872244
14.126316,0.053123,-0.301979,-9.850097
14.159655,0.033071,-0.295844,-9.827202
14.193035,0.062251,-0.301231,-9.837827
14.226362,0.060306,-0.348369,-9.861321
14.259664,0.022446,-0.334602,-9.845907
14.293009,0.038907,-0.307067,-9.871047
14.326356,0.024242,-0.322032,-9.841867
14.359660,0.021698,-0.338343,-9.831242
14.393062,0.062401,-0.340288,-9.849648
14.425564,0.052525,-0.366326,-9.821216
14.459699,0.038458,-0.383086,-9.811639
14.493045,0.024841,-0.385181,-9.833786
14.526305,0.018256,-0.417055,-9.869401
14.559715,0.009278,-0.414361,-9.858926
14.592691,0.000449,-0.405383,-9.827651
14.626345,0.016760,-0.391017,-9.884964
14.659643,0.017658,-0.276391,-9.726043
14.693000,0.085147,-0.442644,-9.799817
14.726357,0.033819,-0.644811,-9.864613
14.759677,-0.009278,-0.571636,-9.899629
14.793052,0.038159,-0.486789,-9.883468
14.826315,0.013767,-0.506242,-9.812238
14.859577,0.039206,-0.505195,-9.824209
14.892782,0.004489,-0.561760,-9.839473
14.926525,-0.019304,-0.511480,-9.793383
14.959640,0.033819,-0.535422,-9.819570
14.992979,0.058660,-0.590341,-9.858328
15.026355,0.023344,-0.594831,-9.837827
15.059654,0.049981,-0.579866,-9.858028
15.092989,0.056415,-0.612339,-9.853090
15.126417,0.037261,-0.624310,-9.824508
15.159660,0.001646,-0.607999,-9.820917
15.192991,0.016012,-0.580615,-9.834235
15.226310,0.019454,-0.605455,-9.858926
15.259648,-0.016161,-0.642268,-9.812836
15.292993,-0.005238,-0.636132,-9.801014
15.326309,0.014665,-0.654239,-9.818373
15.359681,0.038309,-0.658579,-9.814333
15.393055,0.011223,-0.659626,-9.848900
15.426400,0.018406,-0.666809,-9.866109
15.459716,-0.003143,-0.665013,-9.823162
15.493091,-0.006435,-0.659776,-9.865660
15.526379,-0.009876,-0.502501,-9.737865
15.559693,0.048035,-0.714545,-9.774528
15.593069,0.000299,-0.826777,-9.843962
15.626438,-0.031724,-0.769314,-9.848152
15.659695,0.015713,-0.746868,-9.811489
15.693060,0.015413,-0.737440,-9.821366
15.726390,0.016012,-0.742079,-9.822413
15.759692,0.008081,-0.817050,-9.855335
